"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"34013","0","10","70","0","2015","A","","Essex County, New Jersey","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",19792,333483,21603467372,6678432083,166244281,1246,64781,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-189,-0.9,3975,1.2,770202048,3.7,241816880,3.8,-8991676,-5.1,30,2.5,1556,2.5
"34013","1","10","71","0","2015","A","","Essex County, New Jersey","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",66,8744,759253981,0,0,1670,86836,"",0.52,1.33,1.21,0.00,0.00,0.91,0.91,"",-1,-1.5,-59,-0.7,24952977,3.4,0,0.0,0,0.0,66,4.1,3417,4.1
"34013","1","102","72","0","2015","A","","Essex County, New Jersey","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",66,8744,759253981,0,0,1670,86836,"",0.52,1.35,1.23,0.00,0.00,0.91,0.91,"",-1,-1.5,-59,-0.7,24952977,3.4,0,0.0,0,0.0,66,4.1,3417,4.1
"34013","1","1021","73","0","2015","A","","Essex County, New Jersey","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",26,1577,108545934,0,0,1323,68820,"",0.41,0.99,0.90,0.00,0.00,0.91,0.91,"",0,0.0,56,3.7,3658227,3.5,0,0.0,0,0.0,-3,-0.2,-143,-0.2
"34013","1","1024","73","0","2015","A","","Essex County, New Jersey","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",1,1,74226,0,0,1427,74226,"",0.33,0.01,0.00,0.00,0.00,0.72,0.72,"",0,0.0,0,0.0,3956,5.6,0,0.0,0,0.0,76,5.6,3956,5.6
"34013","1","1025","73","0","2015","A","","Essex County, New Jersey","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1755,152619444,0,0,1673,86971,"",0.36,1.87,1.79,0.00,0.00,0.96,0.96,"",0,0.0,-59,-3.3,110981,0.1,0,0.0,0,0.0,56,3.5,2879,3.4
"34013","1","1026","73","0","2015","A","","Essex County, New Jersey","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,27,1723876,0,0,1224,63651,"",0.30,0.22,0.26,0.00,0.00,1.17,1.17,"",0,0.0,-2,-6.9,-98011,-5.4,0,0.0,0,0.0,19,1.6,1007,1.6
"34013","1","1028","73","0","2015","A","","Essex County, New Jersey","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",37,5383,496290501,0,0,1773,92190,"",0.71,1.50,1.30,0.00,0.00,0.87,0.87,"",-1,-2.6,-55,-1.0,21277824,4.5,0,0.0,0,0.0,93,5.5,4839,5.5
"34013","1","48-49","74","0","2015","A","","Essex County, New Jersey","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",26,1577,108545934,0,0,1323,68820,"",0.43,1.08,0.96,0.00,0.00,0.89,0.89,"",0,0.0,56,3.7,3658227,3.5,0,0.0,0,0.0,-3,-0.2,-143,-0.2
"34013","1","488","75","0","2015","A","","Essex County, New Jersey","Federal Government","Support activities for transportation","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,101,13938134,0,0,2658,138229,"",5.38,3.84,3.27,0.00,0.00,0.85,0.85,"",0,0.0,1,1.0,196005,1.4,0,0.0,0,0.0,20,0.8,1036,0.8
