,,,Essex 2015,NJ 2015
TotalPop,,,11733,140277
TotalHU,,,4807,56618
HU_owned,,,118393,2009034
HU_rented,,,161481,1178929
Pop_HU_owned,,,370758,5749063
Pop_HU_rented,,,405609,3022937
18-64,,,505295,5616197
65+,,,100872,1342951
White,,,333541,6060267
Black,,,314799,1198613
Indian,,,1736,16870
Asian,,,41658,849240
inc0,,,61141,421547
inc1,,,53361,494106
inc2,,,38242,431004
inc3,,,48922,676025
inc4,,,33097,542923
inc5,,,16974,275874
inc6,,,28137,346484
medInc,,,52041,72222
bachelor,,,111450,1437307
rent,,,1075,1214
homeVal,,,375900,322600
state,,,34,34
county,,,13,
